STATE/UT,DISTRICT,YEAR,MURDER,RAPE,K&A,ROBBERY,BURGLARY,THEFT,DD,IMG,sum_of_crime_numbers
ANDHRA PRADESH,ADILABAD,2001,101,50,46,41,198,199,16,0,651
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,16,191,366,7,0,807
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,14,237,723,14,0,1175
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,4,98,173,17,0,417
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,25,437,1021,12,0,1649
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,2,0,162,0,0,167
ANDHRA PRADESH,GUNTUR,2001,182,54,82,59,338,1122,7,0,1844
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,67,1155,2792,24,0,4266
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,50,218,392,62,0,1007
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,13,172,368,17,0,751
ANDHRA PRADESH,KRISHNA,2001,65,37,36,15,163,478,10,0,804
ANDHRA PRADESH,KURNOOL,2001,133,29,47,22,155,297,13,0,696
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,27,249,316,14,0,864
ANDHRA PRADESH,MEDAK,2001,101,35,26,26,219,286,26,0,719
ANDHRA PRADESH,NALGONDA,2001,122,35,27,28,133,318,31,0,694
ANDHRA PRADESH,NELLORE,2001,89,46,90,16,244,608,10,0,1103
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,22,158,234,19,0,598
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,14,147,278,5,0,596
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,78,1076,1296,37,7,2886
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,10,2,296,1,0,315
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,4,118,231,6,0,417
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,27,491,2057,2,0,2725
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,1,0,265,0,0,269
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,3,76,165,3,0,329
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,5,323,630,0,0,1006
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,2,99,144,0,0,294
ANDHRA PRADESH,WARANGAL,2001,158,53,81,23,266,418,52,0,1051
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,15,257,1116,15,0,1582
ANDHRA PRADESH,TOTAL,2001,2602,871,1182,629,7220,16751,420,7,29682
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,4,18,24,0,0,61
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,4,5,18,19,0,0,51
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,7,6,8,26,0,0,52
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,2,0,6,26,0,0,38
ARUNACHAL PRADESH,LOHIT,2001,16,2,6,8,20,31,0,0,83
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,15,29,59,109,0,0,232
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,11,8,25,52,0,0,108
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,5,0,5,9,0,0,22
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,17,10,34,72,0,0,142
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,6,7,17,25,0,0,65
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,1,5,17,20,0,0,49
ARUNACHAL PRADESH,TAWANG,2001,2,1,0,0,3,13,0,0,19
ARUNACHAL PRADESH,TIRAP,2001,8,1,6,2,18,17,0,0,52
ARUNACHAL PRADESH,TOTAL,2001,83,33,83,84,248,443,0,0,974
ASSAM,BARPETA,2001,64,28,105,45,93,187,10,0,532
ASSAM,BONGAIGAON,2001,45,20,36,25,87,92,1,0,306
ASSAM,C.I.D.,2001,0,0,0,0,0,1,0,0,1
ASSAM,CACHAR,2001,52,45,104,42,189,359,7,0,798
ASSAM,DARRANG,2001,61,48,64,29,111,185,9,0,507
ASSAM,DHEMAJI,2001,15,42,31,12,26,79,0,0,205
ASSAM,DHUBRI,2001,65,43,69,19,79,83,5,0,363
ASSAM,DIBRUGARH,2001,110,35,57,29,114,325,3,0,673
ASSAM,G.R.P.,2001,13,1,3,16,11,135,0,0,179
ASSAM,GOALPARA,2001,28,35,43,13,61,116,1,0,297
ASSAM,GOLAGHAT,2001,53,30,44,27,95,211,0,0,460
ASSAM,GUWAHATI CITY,2001,71,37,129,73,227,736,5,0,1278
ASSAM,HAILAKANDI,2001,18,24,36,8,93,92,2,0,273
ASSAM,JORHAT,2001,40,42,37,27,43,230,2,0,421
ASSAM,KAMRUP,2001,37,21,95,41,196,275,2,0,667
ASSAM,KARBI ANGLONG,2001,65,5,38,33,13,79,4,0,237
ASSAM,KARIMGANJ,2001,32,33,42,5,57,114,1,0,284
ASSAM,KOKRAJHAR,2001,87,14,41,10,42,89,0,0,283
ASSAM,LAKHIMPUR,2001,26,64,72,47,124,195,0,0,528
ASSAM,MORIGAON,2001,20,23,39,10,84,66,0,0,242
ASSAM,N.C.HILLS,2001,17,2,8,5,17,30,0,0,79
ASSAM,NAGAON,2001,95,51,119,33,288,491,1,0,1078
